There is discontinuous confidence interval around purity estimates before reaching the last purity.
Warning! There is discontinuous confidence interval around final purity estimate; we may not have enough power to break ambiguity between different purity estimates.
len_SNV_list:97
len_SNV_list_after_germline_removed:79
len_SNV_list_after_germline_and_subclone_removed:78
All_variants	Presence(T)/Absence(F)_after_germline_removed	Presence(T)/Absence(F)_after_germline&subclone_removed
Var94:68.0:464	False	False
Var17:19.0:550	True	True
Var60:64.0:625	True	True
Var42:45.0:550	False	False
Var41:51.0:891	False	False
Var3:13.0:433	True	True
Var46:55.0:748	True	True
Var71:62.0:420	True	True
Var40:48.0:500	False	False
Var48:60.0:778	True	True
Var49:55.0:583	True	True
Var58:63.0:386	True	True
Var47:58.0:710	True	True
Var96:33.0:523	True	True
Var25:27.0:462	True	True
Var57:66.0:652	True	True
Var51:60.0:363	True	True
Var97:16.0:524	True	True
Var13:20.0:450	True	True
Var4:14.0:934	True	True
Var45:60.0:752	True	True
Var62:61.0:597	True	True
Var29:31.0:942	True	True
Var43:46.0:736	False	False
Var5:17.0:648	True	True
Var72:10.0:305	True	True
Var34:48.0:372	False	False
Var89:63.0:996	True	True
Var53:65.0:484	True	True
Var24:26.0:691	True	True
Var69:29.0:427	True	True
Var36:50.0:716	False	False
Var22:29.0:707	True	True
Var6:10.0:324	True	False
Var61:65.0:465	True	True
Var95:69.0:565	False	False
Var67:53.0:885	True	True
Var79:46.0:675	True	True
Var23:28.0:918	True	True
Var92:41.0:675	True	True
Var10:15.0:644	True	True
Var52:54.0:393	True	True
Var44:49.0:328	False	False
Var12:18.0:815	True	True
Var19:27.0:844	True	True
Var18:16.0:593	True	True
Var93:59.0:448	True	True
Var85:56.0:606	False	False
Var35:48.0:861	False	False
Var77:49.0:573	True	True
Var64:24.0:908	True	True
Var20:31.0:437	True	True
Var73:9.0:740	True	True
Var82:44.0:372	True	True
Var56:67.0:979	True	True
Var84:62.0:347	False	False
Var21:30.0:870	True	True
Var15:19.0:973	True	True
Var88:64.0:633	True	True
Var54:66.0:817	True	True
Var38:55.0:733	True	True
Var80:29.0:758	True	True
Var75:29.0:770	True	True
Var2:14.0:327	True	True
Var78:25.0:498	True	True
Var28:28.0:611	True	True
Var91:81.0:405	True	True
Var37:49.0:407	False	False
Var81:81.0:584	True	True
Var66:28.0:486	True	True
Var70:7.0:356	True	True
Var76:13.0:442	True	True
Var1:17.0:341	True	True
Var7:15.0:989	True	True
Var8:20.0:753	True	True
Var14:19.0:700	True	True
Var30:28.0:745	True	True
Var74:11.0:456	True	True
Var33:50.0:644	False	False
Var86:74.0:333	True	True
Var83:63.0:899	True	True
Var39:50.0:800	False	False
Var65:37.0:518	True	True
Var59:64.0:889	True	True
Var90:69.0:467	False	False
Var31:51.0:480	False	False
Var27:29.0:814	True	True
Var87:36.0:427	True	True
Var68:11.0:539	True	True
Var32:53.0:601	False	False
Var9:19.0:540	True	True
Var63:12.0:938	True	True
Var26:28.0:503	True	True
Var50:57.0:996	True	True
Var55:63.0:389	True	True
Var11:17.0:915	True	True
Var16:16.0:343	True	True
purity:	0.31	0.3,0.31
purity_after_removing_germline_no_LOH:	0.3	0.29,0.3,0.31
purity_after_removing_germline_no_LOH_and_subclonal:	0.3	0.29,0.3,0.31
SIM_DATA_3.3384	0.3	0.29,0.3,0.31
