There is discontinuous confidence interval around purity estimates before reaching the last purity.
len_SNV_list:88
len_SNV_list_after_germline_removed:70
len_SNV_list_after_germline_and_subclone_removed:68
All_variants	Presence(T)/Absence(F)_after_germline_removed	Presence(T)/Absence(F)_after_germline&subclone_removed
Var29:49.0:536	False	False
Var78:62.0:570	False	False
Var3:3.0:838	True	False
Var36:54.0:456	True	True
Var40:54.0:676	True	True
Var53:60.0:471	True	True
Var38:54.0:744	True	True
Var5:4.0:878	True	False
Var84:55.0:608	False	False
Var28:48.0:797	False	False
Var57:60.0:624	True	True
Var2:6.0:432	True	True
Var71:9.0:361	True	True
Var11:11.0:465	True	True
Var12:8.0:923	True	True
Var42:50.0:610	True	True
Var67:25.0:796	True	True
Var81:53.0:947	False	False
Var44:60.0:367	True	True
Var37:54.0:619	True	True
Var88:8.0:699	True	True
Var64:18.0:470	True	True
Var55:60.0:714	True	True
Var27:14.0:961	True	True
Var59:34.0:837	True	True
Var87:36.0:729	True	True
Var76:7.0:711	True	True
Var68:26.0:953	True	True
Var65:26.0:764	True	True
Var50:56.0:551	False	False
Var72:8.0:651	True	True
Var4:7.0:698	True	True
Var48:56.0:573	False	False
Var62:19.0:586	True	True
Var35:55.0:921	True	True
Var43:58.0:325	False	False
Var7:8.0:565	True	True
Var47:57.0:715	False	False
Var58:56.0:874	False	False
Var77:14.0:396	True	True
Var49:56.0:793	False	False
Var16:8.0:910	True	True
Var8:6.0:455	True	True
Var14:7.0:886	True	True
Var26:17.0:488	True	True
Var54:61.0:491	True	True
Var19:8.0:342	True	True
Var1:7.0:492	True	True
Var74:29.0:753	True	True
Var80:49.0:973	False	False
Var15:7.0:668	True	True
Var25:14.0:967	True	True
Var20:9.0:616	True	True
Var56:59.0:564	True	True
Var18:9.0:866	True	True
Var73:21.0:692	True	True
Var17:9.0:881	True	True
Var86:51.0:969	False	False
Var82:57.0:570	False	False
Var63:15.0:721	True	True
Var6:9.0:773	True	True
Var83:61.0:866	True	True
Var23:14.0:591	True	True
Var9:6.0:467	True	True
Var51:61.0:490	True	True
Var34:50.0:777	True	True
Var33:52.0:372	True	True
Var79:43.0:341	True	True
Var22:15.0:561	True	True
Var30:49.0:876	False	False
Var70:18.0:496	True	True
Var85:43.0:766	True	True
Var60:32.0:933	True	True
Var75:41.0:609	True	True
Var52:57.0:308	False	False
Var66:30.0:695	True	True
Var21:7.0:638	True	True
Var61:20.0:517	True	True
Var39:55.0:866	True	True
Var41:53.0:986	True	True
Var31:55.0:569	True	True
Var46:56.0:518	False	False
Var32:52.0:986	True	True
Var24:14.0:786	True	True
Var13:8.0:452	True	True
Var45:58.0:548	False	False
Var10:7.0:662	True	True
Var69:19.0:473	True	True
purity:	0.17	0.17,0.18
purity_after_removing_germline_no_LOH:	0.16	0.16,0.17
purity_after_removing_germline_no_LOH_and_subclonal:	0.16	0.16,0.17
SIM_DATA_3.1779	0.16	0.16,0.17
