Warning! There is discontinuous confidence interval around final purity estimate; we may not have enough power to break ambiguity between different purity estimates.
len_SNV_list:91
len_SNV_list_after_germline_removed:85
len_SNV_list_after_germline_and_subclone_removed:78
All_variants	Presence(T)/Absence(F)_after_germline_removed	Presence(T)/Absence(F)_after_germline&subclone_removed
Var11:36.0:624	True	True
Var46:48.0:516	True	True
Var36:74.0:673	True	True
Var73:81.0:768	True	True
Var59:78.0:772	True	True
Var27:73.0:728	True	True
Var68:85.0:985	True	True
Var62:78.0:685	True	True
Var40:71.0:762	True	True
Var37:73.0:672	True	True
Var25:73.0:656	True	True
Var76:17.0:984	True	True
Var8:27.0:328	True	False
Var75:86.0:587	True	True
Var83:58.0:369	True	True
Var48:54.0:373	True	True
Var12:38.0:805	True	True
Var89:91.0:900	True	True
Var18:54.0:549	True	True
Var41:69.0:518	True	True
Var35:71.0:386	True	True
Var14:32.0:921	True	True
Var5:37.0:483	True	True
Var47:51.0:789	True	True
Var55:81.0:483	True	True
Var58:77.0:426	True	True
Var91:35.0:377	True	True
Var78:62.0:649	True	True
Var19:54.0:324	True	True
Var9:36.0:757	True	True
Var17:58.0:617	True	True
Var64:85.0:354	True	True
Var42:47.0:587	True	True
Var87:91.0:685	True	True
Var60:81.0:377	True	True
Var15:18.0:820	True	False
Var63:79.0:464	True	True
Var53:79.0:965	True	True
Var26:72.0:740	True	True
Var79:91.0:628	True	True
Var2:31.0:918	True	True
Var50:78.0:418	True	True
Var66:87.0:966	True	True
Var7:21.0:315	True	False
Var29:72.0:714	True	True
Var24:72.0:563	True	True
Var84:44.0:595	True	True
Var57:78.0:940	True	True
Var56:79.0:995	True	True
Var80:85.0:576	False	False
Var23:54.0:716	True	True
Var69:89.0:492	True	True
Var4:20.0:450	True	False
Var33:71.0:780	True	True
Var82:52.0:572	True	True
Var31:74.0:991	True	True
Var39:72.0:800	True	True
Var61:78.0:588	True	True
Var30:73.0:456	True	True
Var32:70.0:317	True	True
Var20:57.0:584	True	True
Var3:36.0:571	True	True
Var38:72.0:319	True	True
Var52:77.0:375	True	True
Var45:51.0:930	True	True
Var16:55.0:555	True	True
Var65:85.0:697	True	True
Var34:72.0:780	True	True
Var51:83.0:551	True	True
Var49:47.0:939	False	False
Var86:36.0:991	False	False
Var13:19.0:850	True	False
Var81:95.0:581	True	True
Var74:82.0:684	True	True
Var28:71.0:702	True	True
Var44:50.0:861	True	True
Var88:29.0:482	False	False
Var90:37.0:578	False	False
Var10:17.0:937	True	False
Var43:52.0:788	True	True
Var6:35.0:900	True	True
Var67:88.0:617	True	True
Var54:78.0:471	True	True
Var71:86.0:426	True	True
Var70:85.0:591	True	True
Var21:51.0:790	True	True
Var85:83.0:752	False	False
Var77:78.0:781	True	True
Var72:27.0:557	True	True
Var22:53.0:537	True	True
Var1:18.0:553	True	False
purity:	0.69	0.66,0.67,0.68,0.69,0.7,0.71,0.72
purity_after_removing_germline_no_LOH:	0.69	0.66,0.67,0.68,0.69,0.7,0.71,0.72
purity_after_removing_germline_no_LOH_and_subclonal:	0.72	0.71,0.72
SIM_DATA_3.777	0.72	0.71,0.72
